"Payment by card on the site","Оплата карткою на сайті"
"The authorized amount is %1.","Дозволена сума %1."
"An error has occurred during payment. Merchant data is incorrect.","Сталася помилка при оплаті. Дані торговця невірні."
"An error has occurred during payment. Order is declined.","Сталася помилка при оплаті. Замовлення відхилено."
"An error has occurred during payment. Signature is not valid.","Сталася помилка при оплаті. Підпис недійсний."
GercPay,GercPay
"<div class=""gercpay-payment-logo""></div>
                        <div class=""gercpay-payment-text"">
                            <div class=""gercpay-payment-text-bold"">Payment Visa, Mastercard, Google Pay, Apple Pay&nbsp;</div>
                            <i>Process payments using your own internet merchant account.</i>
                        </div>","<div class=""gercpay-payment-logo""></div>
                        <div class=""gercpay-payment-text"">
                            <div class=""gercpay-payment-text-bold"">Оплата Visa, Mastercard, Google Pay, Apple Pay&nbsp;</div>
                            <i>Обробляйте платежі, використовуючи свій обліковий запис інтернет-продавця.</i>
                        </div>"
Enabled,Увімкнений
"Plugin state","Стан плагіна"
Title,Назва
"Text displayed at checkout","Текст, що відображається під час оформлення замовлення"
Merchant,Ідентифікатор торговця
"Given to Merchant by GercPay","Надається торговцю системой GercPay"
"Secret key","Секретний ключ"
"New order status","Статус нового замовлення"
"Order status after creation","Статус замовлення після створення"
"Status after payment","Статус після оплати"
"Order status after successful payment","Статус замовлення після успішної оплати"
"Status after payment refund","Статус після повернення оплати"
"Order status after payment refund","Статус замовлення після повернення коштів покупцеві"
"Allowed Shipping Methods","Дозволені способи доставки"
"Sort Order","Порядок сортування"
"Defines the sort order of the section of payment methods","Визначає порядок сортування розділу способів оплати"
